"Product Number","Description"
"2186826-8","Diode, 1600 V, 500 A"
"2186826-7","Diode, 1200 V, 500 A"
"605735C1","Diode, Scr, Forward"
"1266826-1","Diode, 600 V, 15 A"
"969850C1","Diode"
"904260C1","Diode, Rectifier"
"908579C1-900","Diode, Rectifier"
"605235C1","Diode, Power, Clamping, 6000 V"
"2504354-1","Diode, Rectifier, 45 V, 160 A"
"1066738-10","Diode"
"991790C1","Diode, Scr"
"604766C1","Diode, Forward, 1400 V, 175 A"
"604767C1","Diode, Reverse, 1400 V, 175 A"
