,,UCP Wirelist Comparison,,,,,,,,,,,
,,,,,,,,,,  = deleted from latest version,,,
Before Workbook:,S:\Legal Drawings\Drawings\H0390_SHELL PERDIDO AC 857 BGC\ELECTRICAL\Archive\A.3\H0390-UCPWiringList_A.3.xlsx,,,,,,,Run Date: 4/27/2026 02:03 PM,,  = added to latest version,,,
After Workbook:,S:\Legal Drawings\Drawings\H0390_SHELL PERDIDO AC 857 BGC\ELECTRICAL\Archive\A.4\H0390-UCPWiringList_A.4.xlsx,,,,,,,,,  = connection attribute changed,,,
,,,,,,,,,,,,,
From,,,,,,,To,,,"
Previous Field Values","
Updated
?","
Stamp",
Device ID,Location,"Cable (W)
 Conductor (SC)
Jumper Clip (JC)",Wire No.,Wire ID,Gauge/Size,"Page/
Zone",Device ID,Location,"Page/
Zone",,,,
FU0133A:LD,BACK WALL PANEL,SC,FU0133A,WHT,12,21.B3,UJ0133:-,BACK WALL PANEL,21.B4,,ADDED,,
FU0133A:LI,BACK WALL PANEL,SC,52008,WHT,12,21.B3,XT0020:2,BACK WALL PANEL,21.B2,,ADDED,,
FU0134:LD,BACK WALL PANEL,SC,FU0134,WHT,12,21.D3,UJ0134:+,BACK WALL PANEL,21.D4,,ADDED,,
FU0134:LI,BACK WALL PANEL,SC,52007,WHT,12,21.D3,XT0020:1,BACK WALL PANEL,21.B2,,ADDED,,
FU0134A:LD,BACK WALL PANEL,SC,FU0134A,WHT,12,21.D3,UJ0134:-,BACK WALL PANEL,21.D4,,ADDED,,
FU0134A:LI,BACK WALL PANEL,SC,52008,WHT,12,21.D3,XT0020:2,BACK WALL PANEL,21.B2,,ADDED,,
GR0210: ,BACK WALL PANEL,SC,IEG03571,GRN,14,5.D6,IEG0357:1,BACK WALL PANEL,5.D6,,,,
QS0561:LI-2,BACK WALL PANEL,SC,UJ0134P,WHT,10,11.C2,UJ0134:OUT(+),BACK WALL PANEL,21.D4,,ADDED,,
QS0561:LI-4,BACK WALL PANEL,SC,UJ0134N,WHT,10,11.C2,UJ0134:OUT(-),BACK WALL PANEL,21.D4,,ADDED,,
UJ0133:IS,BACK WALL PANEL,SC,UJ0133LS,WHT,16,21.B4,UJ0134:IS,BACK WALL PANEL,21.D4,,ADDED,,
AT0680:LAN2,BACK WALL PANEL,WC9004,AT0680L2,ENET,CABLE,8.B4,AT0190:ETAP:L1,CONSOLE,12.B4,,,,
AT0680:LAN1,BACK WALL PANEL,WC0680,BA0008RJ45,ENET,CABLE,8.B4,BA0008:RJ45,LEFT WALL PANEL,3.C6,,,,
IEG0210:,BACK WALL PANEL,SC,IEG0210,GRN,14,16.B5,IEG0356:2,LEFT WALL PANEL,16.B6,,,,
UJ0132:OUT(-),BACK WALL PANEL,SC,UJ0132N,WHT,10,19.B4,QS0560:LI-4,LEFT WALL PANEL,11.B2,,DELETED,,
UJ0132:OUT(+),BACK WALL PANEL,SC,UJ0132P,WHT,10,19.B4,QS0560:LI-2,LEFT WALL PANEL,11.B2,,DELETED,,
UJ0133:OUT(-),BACK WALL PANEL,SC,UJ0133N,WHT,10,21.B4,QS0560:LI-4,LEFT WALL PANEL,11.C4,,ADDED,,
UJ0133:OUT(+),BACK WALL PANEL,SC,UJ0133P,WHT,10,21.B4,QS0560:LI-2,LEFT WALL PANEL,11.C4,,ADDED,,
AF0210:01,BACK WALL PANEL,SC,021001,WHT,20,18.A6,AP0624:ARM1,ORBIT 60^DOOR PANEL,18.A2,,,,
AF0210:02,BACK WALL PANEL,SC,021002,WHT,20,18.A6,AP0624:ARM2,ORBIT 60^DOOR PANEL,18.A2,,,,
AF0210:03,BACK WALL PANEL,SC,021003,WHT,20,18.B6,AP0625:ARM1,ORBIT 60^DOOR PANEL,18.B2,,,,
AF0210:04,BACK WALL PANEL,SC,021004,WHT,20,18.B6,AP0625:ARM2,ORBIT 60^DOOR PANEL,18.B2,,,,
AF0210:05,BACK WALL PANEL,SC,021005,WHT,20,18.D6,AP0612:ARM,ORBIT 60^DOOR PANEL,18.D2,,,,
AF0210:36,BACK WALL PANEL,SC,021036,WHT,20,18.A6,AP0624:NO1,ORBIT 60^DOOR PANEL,18.A2,,,,
